index,frb_name,fingerprint,name,timestamp,dm,fluence,width_ms,scattering_ms,ra,dec,snr,peak_freq
13,FRB20180817A,d7915ecc410b56adb2994d718772d02f08cd8cf74b8a412330fcec6e34cb300d,FRB20180817A,2018-08-17T01:49:33.999727,1006.7714,29.0,0.00189,0.01103,233.2,42.2,65.1,501.1
14,FRB20180904A,f1152e88dd6d4f4186888fa68d7d91abade86a1fb08e3709db49ee01598a9b40,FRB20180904A,2018-09-04T16:06:42.178954,361.1374,6.0,0.000527,,286.58,81.22,74.6,519.7
15,FRB20180906A,5821439e857450aa956f0e94ff314b9d9a9e7f5eb3845514f5bde50ff2201710,FRB20180906A,2018-09-06T18:25:49.240249,383.456,2.7,0.00135,,141.48,14.29,10.9,800.2
16,FRB20180906B,bb82eeeedfee9f5afd5fc35a843564f425a7b169ddd646ea86322af83ae46b70,FRB20180906B,2018-09-06T21:18:38.647160,3038.058,1.5,0.0059,0.0048,185.75,56.42,17.9,449.3
17,FRB20180907D,50eefff3d6d22aaa0cf04704d917aeb5ff1e6e3c258b3b304d148f4da451b0ba,FRB20180907D,2018-09-07T06:05:58.927632,1447.098,4.9,0.00222,,328.95,89.22,13.8,800.2
18,FRB20180907A,13dc29dd434d7df6a5b18aaed2a65bda505e26bd4d449be9801c5c7390e23589,FRB20180907A,2018-09-07T06:15:50.702772,877.24,2.8,0.00087,0.00026,320.87,29.46,25.4,400.2
19,FRB20180907B,42c32a702aaaefea3e0c899bfad20efab7850bf9ad42ab4d66bf3e1a0f155241,FRB20180907B,2018-09-07T09:10:11.254063,658.1899,2.9,0.00021,0.00113,4.49,19.17,19.3,400.2
20,FRB20180907C,beb9559bc6da27b6d64aace56eca0a686c2d3c55e7f51121377ffd8f6836fbcc,FRB20180907C,2018-09-07T11:48:09.898747,638.1999,1.5,0.00197,0.0008,41.72,77.07,17.1,670.0
21,FRB20180907E,0a53dd4412df74f328910f61ff09122407220ab69bf92b15a0a1100040ec1fdf,FRB20180907E,2018-09-07T20:01:13.125130,383.36,6.9,0.00415,0.00338,167.88,47.09,20.3,400.2
22,FRB20180908B,1684c55d178bb80ba8c7355bab1406de13b78531f91843e552a411ea152e2d2a,FRB20180908B,2018-09-08T21:13:04.062953,195.2393,5.0,0.001882,,188.22,74.19,30.2,584.1
23,FRB20180909A,e9a2e03332bb5c37a7c1c5eef4e4fe93f869894aa86a5887f114eb38e883ca1e,FRB20180909A,2018-09-09T16:56:36.771274,408.647,1.0,0.00631,,123.63,56.76,13.9,400.2
24,FRB20180910A,4ed39b8b2389e5e83b516d5eaea6053f02ffd44c2ed3655bb370015db7476b36,FRB20180910A,2018-09-10T08:06:06.668412,684.4081,5.6,0.000205,0.00024,352.77,88.21,50.4,417.6
25,FRB20180911C,3c88d31069211468a5cd0d6992eac6229f0f32112ee1730820a1506414e5eb07,FRB20180911C,2018-09-11T12:59:16.451319,189.84,6.2,0.00319,,65.54,73.63,23.3,599.0
26,FRB20180911A,9ae26c4cb66c2c1f8e0bffc1bad7e2f4cfcd853fbad69ec673d214361c447c4f,FRB20180911A,2018-09-11T15:00:21.396992,221.254,2.6,0.000831,,99.55,84.62,26.8,400.2
27,FRB20180915A,a3c255864c556a0e9a66e80e14d7026af352fbca9d48cfc213019ffb9acd5f3f,FRB20180915A,2018-09-15T03:03:45.456065,371.029,6.2,0.0008,0.00088,280.55,17.91,16.3,571.9
28,FRB20180915B,791db0a766510b0e4a52a002cf4bbfa76307c33aa3f1ddb7e07dec78d5c14bd7,FRB20180915B,2018-09-15T23:24:33.228507,177.127,3.8,0.001694,0.00011,225.23,25.02,36.1,400.2
29,FRB20180916A,c6a37ed7ca042484be433be8f6464462a04e6b36b4145cccd3ed502b676d86d6,FRB20180916A,2018-09-16T07:33:13.489379,296.0275,4.5,0.00098,0.00019,348.97,80.33,32.5,464.7
30,FRB20180916B,11da5e3b382642b7d3c30d2b14547db6dd6d09369dcb1f368e9af9ad9592189e,FRB20180916B,2018-09-16T10:15:19.829557,349.3491,6.1,0.000765,0.00105,29.5,65.72,36.7,603.9
31,FRB20180916C,01843771d3f533ed63cf450e78fcb7fe0bbe6abae150e7ea2c2fb9a8475cee71,FRB20180916C,2018-09-16T15:26:21.045869,2252.873,2.1,0.00406,,107.15,45.08,15.6,640.9
