index,frb_name,fingerprint,name,fluence
512,FRB20190531A,7c4ed33b3682949daa2ff4d26e4daad28f04582af1526cd89730fa766bd29bb4,FRB20190531A,0.0
513,FRB20190531B,9a6c5a406b1ef68fba7abd86f49af3f21e984d39626d6f48c680a92e1ede7959,FRB20190531B,0.0
514,FRB20190531C,a601b36024d6a16b8d8af3bbc8118f5637918d10d4cc61def1968ea0b3c76cad,FRB20190531C,0.4
515,FRB20190531E,1c9080ab0c42d8dfecd15ce317725c9589e7901ee7bf65e9ed55dacb333472ce,FRB20190531E,2.7
516,FRB20190601A,9d93b6595d1a870aec48c387b0626b8b3596336749f28dd27df3ddee48265843,FRB20190601A,0.7
517,FRB20190601B,da1f1a93894770fc3c4fae489604fd23d180fd0ab1909f49aaa739ba1e6e393c,FRB20190601B,1.0
518,FRB20190601D,42d271f969a236496cd7094f07ea9029577fb1a0d1f21d4c2fc3ed52f420e815,FRB20190601D,0.6
519,FRB20190601C,cc019e9de1eec26c7b25990b9d9a18e80a0120d024f9efb721402ef30a99c53a,FRB20190601C,1.3
520,FRB20190601C,cc019e9de1eec26c7b25990b9d9a18e80a0120d024f9efb721402ef30a99c53a,FRB20190601C,1.3
521,FRB20190603B,4d2f4bfae0dbda511b7ca29f20a9767a6df40d0d8b3240ac00b61b4c74618c33,FRB20190603B,1.7
522,FRB20190603A,fc83f9cf3e322515ea5e2ea4a54731782d884b0bc752ea772a54c2b6407a948e,FRB20190603A,0.6
523,FRB20190604D,e806315196bd17f53ada227b73696ac1d5727f023b57a83b617e2f291f4a7654,FRB20190604D,0.8
524,FRB20190604A,cf70050044e08801165b632e14cf22091748c9f33a0bee1d551321d33c5269db,FRB20190604A,0.9
525,FRB20190604E,1deaf948580a9b23d03e58731e6188615aeaa6822182529f982587434f6e4ad7,FRB20190604E,1.2
526,FRB20190604F,2eaf6342d489f50321d4e386f36912ca5ea6e3871c1c621956eca4f090e13d60,FRB20190604F,3.4
527,FRB20190604F,2eaf6342d489f50321d4e386f36912ca5ea6e3871c1c621956eca4f090e13d60,FRB20190604F,3.4
528,FRB20190604F,2eaf6342d489f50321d4e386f36912ca5ea6e3871c1c621956eca4f090e13d60,FRB20190604F,3.4
529,FRB20190604C,a2038d088ccd8c9f006c7e5d1d5d8a5bb21d94ce5ea508e31feff30b2d9b7745,FRB20190604C,1.6
530,FRB20190604G,57c89254201aed2dacc6a9e0dd8bf8c1568a1f07a9fb36b7fc97874a949e7988,FRB20190604G,1.1
531,FRB20190605C,190d37992781510174a90a309c8d4d9bf1f0919c39b8f4e3d4a037e69198973a,FRB20190605C,4.6
532,FRB20190605D,7e7af195d053f257a39075d3e0b5b33e0ad97c98213c6de546bb7a249e7ca06d,FRB20190605D,0.8
533,FRB20190605A,ed057b19fde214688013a833a7b0b0b261b6c8ad9aa46c38d9d81074d41c1f5e,FRB20190605A,1.4
534,FRB20190605B,412557a560d6eb44d57578369a06725e1149cf57df9b0e71ea28ccafcdff1f3b,FRB20190605B,1.8
535,FRB20190605B,412557a560d6eb44d57578369a06725e1149cf57df9b0e71ea28ccafcdff1f3b,FRB20190605B,1.8
536,FRB20190605B,412557a560d6eb44d57578369a06725e1149cf57df9b0e71ea28ccafcdff1f3b,FRB20190605B,1.8
537,FRB20190606A,9dcfcda328997c8d445ab20e72a84e0e14fd6d52b982fb59b498704180bb7885,FRB20190606A,0.5
538,FRB20190606B,ec5264f94072a1ab50aa12fd6d949d3abda36a9608493ea8dc8bee9caeb96a2e,FRB20190606B,2.6
539,FRB20190607A,31841d370e8b080e2d8c474f0b37e0af72979644033dc9620a182064c8856e81,FRB20190607A,4.3
540,FRB20190607B,549cb5b9f0631596bf676e418ca5b4c970316c74868fb390835860929a3d3785,FRB20190607B,1.1
541,FRB20190608A,616afda428d113dc891adba785a739b2ae5ded58e74e713053c287152f69a2b7,FRB20190608A,1.3
542,FRB20190609A,893d3fc105838e2ea38a151023a3220f82213c5b76d81a59e59b23507d5cddae,FRB20190609A,3.6
543,FRB20190609A,893d3fc105838e2ea38a151023a3220f82213c5b76d81a59e59b23507d5cddae,FRB20190609A,3.6
544,FRB20190609B,a8664412fe2913f64e3da46e2e437c7a40bc2ac907c5eabac8fd295175aec3bd,FRB20190609B,11.5
545,FRB20190609C,900296dfafd34fd252a9765ec2b1039e57c7e7245d23a7de54d0aa60342a2617,FRB20190609C,0.6
546,FRB20190609D,a6eac7b793cb7a64191b0503041ef9362b250f9ec94045d8342f3a92597e6884,FRB20190609D,0.7
547,FRB20190611A,62bc64fb4a1b44eb0fe354db4c575ed596280dcc1ad6f03a148d267277aa15dc,FRB20190611A,1.2
548,FRB20190611A,62bc64fb4a1b44eb0fe354db4c575ed596280dcc1ad6f03a148d267277aa15dc,FRB20190611A,1.2
549,FRB20190612A,5eac475ed2059dc3df9e901b58b95940387cf39e50054b0acbe162f736d6eb75,FRB20190612A,0.8
550,FRB20190612B,506b29cd33c9c4b2bbd84020effa769512124845946fbea677e3ac01963ceb05,FRB20190612B,2.4
551,FRB20190612C,493d792a038b3dd3192ac7946f3c80dbb34408740bc9b342954bf064821a36c1,FRB20190612C,3.8
552,FRB20190613A,d62f90e953cffd23c6a0c310025574df4623b8473b032b7dca990d727272ac87,FRB20190613A,1.1
553,FRB20190613B,16baa84b3e103b13e7c36c05b620bdcb07221c6bff98b477ab9fee0d20366db7,FRB20190613B,1.1
554,FRB20190614A,da3c8c61035bd72ebfd4fab094230bdb464f7ebaee53112c35d00cb6b116bad8,FRB20190614A,0.8
555,FRB20190614B,faa8a19ee821474993cb1e483170b42e30ea6a51960a58ebdbc37c189a47186c,FRB20190614B,4.5
556,FRB20190614C,1489bc7de4ef7ab787c8a499c6dec307ff02206850164cc1aa0fa99ef68e87b6,FRB20190614C,0.5
557,FRB20190616A,1f91d7c0a8675651b189e433681e05d65e107bdcefcdfa96828554b827b82cf0,FRB20190616A,0.7
558,FRB20190617A,c97bb8a17abc0bfee865ef1997a00a7ba572f322298634c7f2ff4a5fd28044f5,FRB20190617A,5.8
559,FRB20190617B,d2c918114b2da4e0956d20e7d4808682011a7b4fbf7fc7b816af6123e0ce7eae,FRB20190617B,1.0
560,FRB20190617C,5ceca5f3372c3d6d082957f2bacbc70d6a9e7a030e4ab56cb29468de30d2375d,FRB20190617C,0.5
561,FRB20190618A,ece518df2aebf3d4b998852506b845ee6428c6fbb1acd0379f2e93aa995c0772,FRB20190618A,2.4
562,FRB20190619A,e246a807056ce6231974e29074ca665548f0d3525e4610887ff99e8d81c86440,FRB20190619A,1.6
